seller_id,total_price,total_freight,total_orders,avg_review_score,total_revenue
0ff83046c3fa22efee8ecf291888b191,69.9,19.46,1,5.0,89.36000000000001
0ffa40d54288e4f3499b8780dd0f144f,782.9,275.83,14,4.5,1058.73
10076e5788b8ee532724bcd460baf762,359.74,191.69,10,4.916666666666667,551.4300000000001
101a3a003516bc11253298b2fad3cb65,450.0,74.0,5,4.833333333333333,524.0
1025f0e2d44d7041d6cf58b6550e0bfa,92485.01,22506.59,607,3.9457627118644067,114991.59999999999
10264f60a8f0a4d2f30810f5c661c673,284.6,41.86,4,5.0,326.46000000000004
10cdd491d1dbea8fb4ead97b19c334ce,208.9,78.86,3,5.0,287.76
10ff823eda2b032e2c93d17a7d294736,431.3,50.16,3,5.0,481.46000000000004
112453736dbe3889cfb74e1aaa0ba0c1,1890.0,264.77,7,4.071428571428571,2154.77
1127b7f2594683f2510f1c2c834a486b,2102.89,525.86,28,4.111111111111111,2628.75
11305281b50fff20ae8bb473f8e11876,1259.89,300.39,10,4.181818181818182,1560.2800000000002
113e3a788b935f48aad63e1c41dac1bd,436.55,387.82,20,4.541666666666667,824.37
116ccb1a1604bc88e4d234a8c23f33de,1075.98,445.55,31,4.647058823529412,1521.53
11742f81550ac064cc9a40f67151d9ad,781.9,49.11,2,5.0,831.01
117cfc326c6d50da67ca858ff5c0c852,454.6,81.47999999999999,5,4.6,536.08
11938fcc75f6902fea1d0a6f72b54a57,344.99,17.42,1,1.0,362.41
11bfa66332777660bd0640ee84d47006,1428.64,675.47,28,3.3902439024390243,2104.11
11fb6f6d341adbe19e81733701704635,1197.0,399.65999999999997,3,5.0,1596.6599999999999
120476eb7a04c149d14772edaf5d9bf2,2368.8,150.83,4,3.8333333333333335,2519.63
128639473a139ac0f3e5f5ade55873a5,3385.5,2895.06,151,4.2993630573248405,6280.5599999999995
128f9bfbe4c7d5185033914b1de3d39a,205.7,64.77,3,4.75,270.46999999999997
12b9676b00f60f3b700e83af21824c0e,6880.0,971.74,34,4.121212121212121,7851.74
12c2ed9cded6138cf0c75f525f565fc7,99.99,13.29,1,4.0,113.28
13074f016982ff2bd6c58ced8682f000,735.0,292.68,5,3.8,1027.68
131fcb0a0c9a47bba4474aacff0f14b7,369.8,36.61,4,4.0,406.41
1336efc61c316ddf92c899eb817f7cae,1804.95,481.95,21,3.875,2286.9
134285d1f41da5c13a756ee8142c8a4e,1572.6999999999998,80.93,3,2.75,1653.6299999999999
134b867a0f7f8bbe6abf10f91874891e,789.89,132.95,1,4.0,922.8399999999999
13511db12ac61e2f89c53b72a944a60b,798.0,265.97,6,3.5,1063.97
1354d51653f645349064725ed204e85e,1140.0,102.52000000000001,7,3.4444444444444446,1242.52
138dbe45fc62f1e244378131a6801526,1125.56,689.24,49,3.9827586206896552,1814.8
13c2ed7698b3ca92dad49e849219da59,319.63,103.97,6,4.166666666666667,423.6
13d058e4eeac2ce8217660b2f8a05812,589.96,193.44,4,4.75,783.4000000000001
13d95f0f6f73943d4ceffad0fc2cd32c,249.99,59.33,1,3.0,309.32
13dd308f81fea30cc670c656b2b46cc3,117.69999999999999,33.44,3,5.0,151.14
13f57c12a00ed4610db646b913a7f5c6,68.9,18.36,1,5.0,87.26
141440cad9341e553f8401c574a2aa38,1288.2,290.8,11,4.166666666666667,1579.0
1430239a858e7682bbc43b20758af153,259.9,120.18,7,3.888888888888889,380.08
1444c08e64d55fb3c25f0f09c07ffcf2,2749.0,69.74,1,1.0,2818.74
1464afc72f696af775557a821c2e253f,397.0,147.72,10,4.6,544.72
14a08204d03bb6b6bde8029f801ae0eb,2185.4,593.6999999999999,28,3.8157894736842106,2779.1
14d7985702e72162bbf13b6beb74ab2b,1342.0,267.38,17,4.0,1609.38
14f2b3587172b9db894c9bad8dab520b,244.0,86.06,2,2.5,330.06
